id,invoice_id,stripe_invoice_line_id,stripe_price_id,stripe_product_id,stripe_subscription_id,stripe_subscription_item_id,interval,amount,currency,description,created_at,updated_at
1,1,il_1JzPj4E224EiyBrBGWm0TJwN,price_1JJBgSE224EiyBrBXmfqxRRM,prod_Jx5sepNwyNqBOb,sub_K6GOPXe9dpssbJ,si_K6GOIUcO1E3nmE,month,1000,usd,1 × Monthly Premium Plan (at $10.00 / month),2021-11-24 07:57:47,2021-11-24 07:57:47
2,2,il_1K05MwE224EiyBrB5TXc8qd2,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JoqZzE224EiyBrBUdiHZqg6,si_KToCqKy2VMcrkH,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-11-26 04:25:42,2021-11-26 04:25:42
3,3,il_1K1EgAE224EiyBrBVQpazync,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1Jf7ajE224EiyBrBO5WjKOx7,si_KJl6ym6mD0QjJp,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-11-29 08:34:18,2021-11-29 08:34:18
4,4,il_1K2EghE224EiyBrBIRAQLpd3,price_1JJBgSE224EiyBrBXmfqxRRM,prod_Jx5sepNwyNqBOb,sub_JxwOeISFT6f1MO,si_JxwOSRQQKfZCE5,month,1000,usd,1 × Monthly Premium Plan (at $10.00 / month),2021-12-02 02:47:00,2021-12-02 02:47:00
5,5,il_1K30OIE224EiyBrBrQv5yYkI,price_1JJBgSE224EiyBrBXmfqxRRM,prod_Jx5sepNwyNqBOb,sub_JyjhMddXGuihC2,si_JyjhhiYrZppAOz,month,1000,usd,1 × Monthly Premium Plan (at $10.00 / month),2021-12-04 05:43:11,2021-12-04 05:43:11
6,6,il_1K3itFE224EiyBrBpdADH3dt,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhbldE224EiyBrBAB1Met9I,si_KMKQUV1308KKp1,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-06 05:14:06,2021-12-06 05:14:06
7,7,il_1K3k34E224EiyBrB8biZhB2f,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhcxKE224EiyBrBdPHRIY7l,si_KMLe2Y3fio2PEL,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-06 06:28:19,2021-12-06 06:28:19
8,8,il_1K3nLrE224EiyBrB3eNrp3MS,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhgFKE224EiyBrBvykjave1,si_KMP3jvitW0VzO5,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-06 09:59:56,2021-12-06 09:59:56
9,9,il_1K4REJE224EiyBrBBisUFTtO,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JiK9cE224EiyBrBu92b3YaU,si_KN4IjAOJWQCYE6,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-08 04:34:47,2021-12-08 04:34:47
10,10,il_1K7iNrE224EiyBrBaU304YWk,price_1JJBgSE224EiyBrBXmfqxRRM,prod_Jx5sepNwyNqBOb,sub_K3bPIMm3b8MCAA,si_K3bPE2WEcnQCrv,month,1000,usd,1 × Monthly Premium Plan (at $10.00 / month),2021-12-17 05:30:11,2021-12-17 05:30:11
11,11,il_1K7igVE224EiyBrBmV9BExen,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JajFEE224EiyBrBcw8h4i2O,si_KFDghHw6mLB64i,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-17 05:49:28,2021-12-17 05:49:28
12,12,il_1K815rE224EiyBrBsRNvxjZd,price_1JJBgSE224EiyBrBXmfqxRRM,prod_Jx5sepNwyNqBOb,sub_K3uj7KNIqtjmuc,si_K3ujIRqbpivQWr,month,1000,usd,1 × Monthly Premium Plan (at $10.00 / month),2021-12-18 01:28:52,2021-12-18 01:28:52
13,13,il_1K8RBYE224EiyBrB2WHNLid7,price_1JJBgSE224EiyBrBXmfqxRRM,prod_Jx5sepNwyNqBOb,sub_K4LjVDYizSIknm,si_K4LjMSbaeNcihQ,month,1000,usd,1 × Monthly Premium Plan (at $10.00 / month),2021-12-19 05:20:29,2021-12-19 05:20:29
14,14,il_1K951aE224EiyBrBfotV1aoe,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1Jc5eOE224EiyBrBToelZRTP,si_KGcuVhZs2GGpYy,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-20 23:52:51,2021-12-20 23:52:51
15,15,il_1K98dUE224EiyBrBxK64eiaw,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1Jn1YHE224EiyBrBzGTUMpTH,si_KRvPShLWvp8ptT,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-21 03:44:12,2021-12-21 03:44:12
16,16,il_1K9XvIE224EiyBrB0cBfK84O,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JnQpbE224EiyBrB83Lt8i4f,si_KSLWrImju5RR20,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-22 06:44:17,2021-12-22 06:44:17
17,17,il_1K9ohbE224EiyBrBonjCWX9W,plan_KE4nwcr0HsnKLo,prod_Jx5sSUTk5MoJfa,sub_1K9ohbE224EiyBrBnLXClVzy,si_KpTeWvdKd76lrX,year,6000,usd,1 × Annual Premium Plan (at $60.00 / year),2021-12-23 00:39:18,2021-12-23 00:39:18
18,18,il_1KAI3fE224EiyBrB7hrbptKT,price_1JJBgSE224EiyBrBXmfqxRRM,prod_Jx5sepNwyNqBOb,sub_K6GOPXe9dpssbJ,si_K6GOIUcO1E3nmE,month,1000,usd,1 × Monthly Premium Plan (at $10.00 / month),2021-12-24 08:00:00,2021-12-24 08:00:00
19,19,il_1KAxhPE224EiyBrB9NWO7Djb,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JoqZzE224EiyBrBUdiHZqg6,si_KToCqKy2VMcrkH,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-26 04:27:48,2021-12-26 04:27:48
20,20,il_1KC6zTE224EiyBrBiuL14lkz,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1Jf7ajE224EiyBrBO5WjKOx7,si_KJl6ym6mD0QjJp,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2021-12-29 08:35:11,2021-12-29 08:35:11
21,21,il_1KDPouE224EiyBrBqq3iZK3Z,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1KDPouE224EiyBrBiW0NZHd8,si_KtCDe24r554UIb,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-01-01 22:53:43,2022-01-01 22:53:43
22,22,il_1KDRlrE224EiyBrBcC1VnM3V,plan_KE4nwcr0HsnKLo,prod_Jx5sSUTk5MoJfa,sub_1KDRlqE224EiyBrBIUVgV8uh,si_KtEEAar4Bd212s,year,6000,usd,1 × Annual Premium Plan (at $60.00 / year),2022-01-02 00:58:41,2022-01-02 00:58:41
23,23,il_1KDTRgE224EiyBrBmvz8IQuW,price_1JJBgSE224EiyBrBXmfqxRRM,prod_Jx5sepNwyNqBOb,sub_JxwOeISFT6f1MO,si_JxwOSRQQKfZCE5,month,1000,usd,1 × Monthly Premium Plan (at $10.00 / month),2022-01-02 02:45:57,2022-01-02 02:45:57
24,24,il_1KDTcpE224EiyBrBQFMmOF56,plan_KE4nwcr0HsnKLo,prod_Jx5sSUTk5MoJfa,sub_1KDRlqE224EiyBrBIUVgV8uh,si_KtEEAar4Bd212s,year,-5999,usd,Unused time on Annual Premium Plan after 02 Jan 2022,2022-01-02 02:57:28,2022-01-02 02:57:28
25,24,il_1KDTcpE224EiyBrBpM6pT0TK,plan_KE4nwcr0HsnKLo,prod_Jx5sSUTk5MoJfa,sub_1KDRlqE224EiyBrBIUVgV8uh,si_KtEEAar4Bd212s,year,0,usd,Trial period for Annual Premium Plan,2022-01-02 02:57:28,2022-01-02 02:57:28
26,25,il_1KDTrTE224EiyBrBUqPYEqvD,plan_KE4nwcr0HsnKLo,prod_Jx5sSUTk5MoJfa,sub_1KDRlqE224EiyBrBIUVgV8uh,si_KtEEAar4Bd212s,year,6000,usd,1 × Annual Premium Plan (at $60.00 / year),2022-01-02 03:12:36,2022-01-02 03:12:36
27,26,il_1KDUGhE224EiyBrBZBOVAxwW,plan_KE4nwcr0HsnKLo,prod_Jx5sSUTk5MoJfa,sub_1KDRlqE224EiyBrBIUVgV8uh,si_KtEEAar4Bd212s,year,-6000,usd,Unused time on Annual Premium Plan after 02 Jan 2022,2022-01-02 03:38:40,2022-01-02 03:38:40
28,26,il_1KDUGhE224EiyBrBSaZpcUah,plan_KE4nwcr0HsnKLo,prod_Jx5sSUTk5MoJfa,sub_1KDRlqE224EiyBrBIUVgV8uh,si_KtEEAar4Bd212s,year,0,usd,Trial period for Annual Premium Plan,2022-01-02 03:38:40,2022-01-02 03:38:40
